step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
27,-0.00973184,-0.131102,-0.296096,-0.264402,-0.123083,0,0.0499669,0.0168808,0.599576,0.971277,-0.037327,-0.136395,0.191374,0.168972,1.073,-0.543785,-0.542946,0.186777,-0.515105,0.51131,1.21841,1.50649,1.15699,-0.119846,-1.53431,-0.824222,-1.47235,-4.86357,-1.20409,-2.6489,-0.0588377,6.1045,-0.0435472,-0.181154,-0.340246,
28,0.062877,-0.335108,-0.301439,-0.291264,-0.10852,0,-0.104065,-0.0110291,0.590965,0.978165,-0.0409125,-0.128058,0.158496,-0.122676,0.965554,-0.540474,-0.54343,0.493741,-0.521301,0.500282,1.17702,1.50462,1.08325,-0.292981,0.464582,1.27622,-0.912471,-6.78525,-3.08329,0.526538,0.0171303,6.16601,-0.0811368,-0.259862,-1.30145,
29,0.0657066,-0.365666,0.078248,-0.156699,-0.0672022,0,-0.297335,-0.0360612,0.566238,0.981354,-0.0364822,-0.0954263,0.162813,-0.508966,0.761237,-0.526527,-0.542431,0.54309,-0.527269,0.498014,1.05248,1.76784,1.16027,-0.740002,0.446971,1.35934,0.649675,-8.63897,-5.07467,0.105102,0.0187511,-0.720466,-0.156901,0.175243,-3.66635,
30,0.0571736,-0.31068,0.183461,0.00103964,0.0323614,0,-0.312919,-0.0260601,0.51798,0.985078,-0.0354089,-0.0608001,0.15707,-0.559275,0.50053,-0.524148,-0.54129,0.455108,-0.54173,0.519833,0.806749,2.06176,0.863984,-1.18488,0.383062,1.11293,-0.404181,1.27795,-2.30323,0.0139128,0.0228712,-2.79957,-0.412947,0.671558,-6.13986,
31,0.0530269,-0.182498,0.291895,0.0644517,0.163326,0,-0.265797,-0.0219647,0.449502,0.98743,-0.0189684,-0.0311313,0.153797,-0.46415,0.508297,-0.51673,-0.539656,0.261431,-0.566415,0.528271,0.473087,2.19521,0.710516,-1.47971,1.16203,0.994353,0.315983,2.51339,0.64669,0.298531,0.0603281,-4.93656,-0.575881,-0.122985,-2.78584,
32,0.0515008,0.0170403,0.336052,0.118643,0.123582,0,-0.177433,-0.014877,0.384693,0.984913,-0.00434941,0.00251164,0.172978,-0.290128,0.550729,-0.472809,-0.533509,-0.0241394,-0.59536,0.524546,0.497325,2.81653,-0.0979621,0.0201243,-0.355291,0.956272,1.18635,4.25669,0.908347,1.39929,0.282772,-6.27869,-0.373613,-0.0299892,0.859925,
33,-0.0203671,0.246254,0.353032,0.161064,0.0410013,0,-0.040877,-0.00178394,0.428488,0.982589,-0.0151646,-0.0185995,0.184235,-0.0314498,0.609176,-0.381299,-0.520685,-0.35613,-0.606947,0.523938,0.544508,2.99862,-0.903305,0.899381,-0.405459,-1.10941,0.0883865,6.2275,1.53739,2.24892,0.00273611,-7.08993,-0.236042,-0.00265526,0.991537,
34,-0.0129553,0.378135,-0.0475448,0.00751105,-0.0794836,0,0.154183,0.022359,0.466752,0.983815,-0.021297,-0.0422615,0.172825,0.3369,0.712861,-0.263276,-0.523248,-0.563588,-0.617089,0.520746,0.637806,2.83353,-0.634541,0.684365,0.109178,-0.8977,-1.49029,8.46646,2.57096,2.48858,-0.0678478,0.47765,-0.152707,-0.117411,2.72628,
35,0.0100584,0.344091,-0.109836,-0.12745,-0.23274,0,0.272826,0.0446239,0.502597,0.988576,0.000936817,-0.0491106,0.142495,0.574507,0.834719,-0.156693,-0.527485,-0.508125,-0.615255,0.51198,0.839559,2.46539,-0.562099,0.497187,0.916297,-0.236769,-0.617031,-0.702231,2.39104,1.7659,-0.0869497,1.63553,0.12876,-0.241073,5.32764,
36,-0.0422206,0.262085,-0.201636,-0.181145,-0.380398,0,0.238296,0.0443199,0.519128,0.990331,0.0197142,-0.0530379,0.126658,0.513277,0.927923,-0.112495,-0.531638,-0.380104,-0.600129,0.502277,1.16124,2.44544,-0.365309,0.48003,-0.167353,-1.75261,-0.500787,-1.59582,1.35083,0.0196648,-0.0609458,3.42546,0.505993,-0.120606,7.40894,
37,-0.0237658,0.126202,-0.254414,-0.231587,-0.376107,0,0.177649,0.0356773,0.570622,0.991112,-0.00825576,-0.0933186,0.0944534,0.399047,0.960576,-0.178972,-0.534845,-0.179719,-0.561469,0.493612,1.26138,1.87866,0.222705,0.81322,-1.51094,-1.22185,-1.16425,-2.9757,-0.0344937,-2.68759,-0.0642705,4.75845,0.925612,-0.315994,-1.01283,
38,-0.016119,-0.0594893,-0.307573,-0.276819,-0.238542,0,0.0767882,0.01768,0.595457,0.988889,-0.0417374,-0.125431,0.0679968,0.207231,0.91633,-0.378596,-0.537816,0.0843645,-0.515882,0.473655,1.22924,1.69526,0.242157,0.186034,-1.63317,-1.00372,-0.685232,-4.68244,-1.72294,-5.27687,-0.053902,5.79715,0.235666,-0.480709,-0.277977,
39,0.0431482,-0.262726,-0.32014,-0.305442,-0.0929457,0,-0.0726445,-0.00565181,0.596776,0.988589,-0.0596319,-0.126747,0.0554243,-0.0776756,0.781426,-0.579114,-0.538405,0.381079,-0.520377,0.446843,1.20412,1.73786,0.30239,-0.114259,-0.0614512,0.709428,-0.674382,-6.67487,-3.6575,0.459862,0.017204,6.08027,-0.107159,-0.582876,-0.717887,
40,0.0499588,-0.372342,0.0299875,-0.185448,-0.0879971,0,-0.265839,-0.0234788,0.579587,0.990947,-0.0631344,-0.106619,0.0516756,-0.46149,0.546478,-0.537121,-0.537514,0.554038,-0.526489,0.425682,1.1211,2.02951,0.338224,-0.57136,-0.190255,0.907585,0.773703,-8.66637,-5.72275,0.574356,0.0196502,-0.337076,-0.140134,-0.27195,-2.58583,
41,0.0555924,-0.332515,0.120681,-0.0301107,-0.0189857,0,-0.318846,-0.0267292,0.551222,0.993843,-0.0471667,-0.080351,0.0599526,-0.571226,0.502645,-0.521422,-0.53483,0.489608,-0.537253,0.422092,0.926692,2.1397,-0.10704,-0.745031,0.985055,1.07355,0.0697562,1.29561,0.573555,0.00915053,0.0621168,-2.22028,-0.29586,0.121549,-5.16806,
42,0.0640673,-0.224454,0.236061,0.0312004,0.11153,0,-0.277557,-0.0237701,0.500586,0.996418,-0.0236582,-0.0487919,0.0648848,-0.486289,0.525048,-0.524134,-0.5318,0.32344,-0.556636,0.43803,0.613645,2.25208,-0.218917,-1.28888,1.09238,1.3224,0.264821,2.09597,0.324778,-0.0445979,0.0590554,-4.40874,-0.477758,0.512581,-7.33627,
43,0.0322075,-0.0407455,0.323027,0.0917433,0.152506,0,-0.203957,-0.0173661,0.426013,0.996994,-0.00626128,-0.0294181,0.0713983,-0.341003,0.546976,-0.505842,-0.528468,0.0577468,-0.584251,0.474753,0.481607,2.46566,-0.374247,-1.63065,0.0327758,0.402705,0.451503,3.69886,0.543216,0.760991,0.0775376,-6.17935,-0.609257,0.948878,0.980537,
44,0.012987,0.185112,0.325093,0.130772,0.0942085,0,-0.0826269,-0.00600474,0.404023,0.99568,-0.000929262,0.00302373,0.0927977,-0.110244,0.584958,-0.445956,-0.519974,-0.265264,-0.606262,0.527047,0.524061,3.136,-1.4677,0.490105,1.29709,-0.144606,0.0492969,5.45711,0.93498,1.71843,-0.030504,-6.85636,-0.312997,0.959962,0.712001,
45,0.0186485,0.384605,0.0376795,0.0274212,-0.00443287,0,0.0894221,0.0128308,0.43589,0.995939,0.00697459,0.00464221,0.0896355,0.211588,0.651276,-0.344861,-0.523176,-0.574312,-0.617682,0.528555,0.593197,3.18841,-1.40558,0.424395,0.472062,0.015859,-0.976999,7.48202,1.77005,2.3444,-0.0712657,-1.48829,-0.231405,-0.152854,2.02956,
46,-0.0116849,0.362493,-0.0997949,-0.0947658,-0.152383,0,0.270776,0.0389682,0.461062,0.997919,0.00859461,-0.0213984,0.0602214,0.563825,0.74262,-0.230951,-0.526242,-0.537909,-0.625939,0.524419,0.76248,2.48164,-0.925696,0.689822,-0.66015,-0.863971,-1.13089,2.76409,1.87419,2.19838,-0.063162,1.24339,-0.0589801,-0.0309588,4.70589,
47,-0.0404881,0.295798,-0.181395,-0.182598,-0.318346,0,0.256755,0.0411734,0.496928,0.997623,-0.00913135,-0.051457,0.044921,0.541469,0.817088,-0.151845,-0.529404,-0.431893,-0.619661,0.523186,1.05621,2.25523,-0.435507,0.680717,-0.980714,-1.70022,-0.315811,-1.27459,1.10916,0.986616,-0.0579187,3.01073,0.29788,-0.0252552,7.02433,
48,0.0367313,0.168646,-0.268717,-0.234593,-0.391231,0,0.206783,0.0347631,0.525974,0.996191,-0.0308801,-0.0728432,0.0366571,0.445844,0.837705,-0.15979,-0.531348,-0.241186,-0.596347,0.515019,1.27198,1.97748,-0.437867,0.352372,-0.0861056,0.530728,0.227978,-2.55818,-0.269381,-1.26815,-0.000648091,4.64748,0.597413,-0.31629,-0.687209,
49,0.0480673,-0.0160414,-0.333984,-0.279512,-0.295648,0,0.116817,0.0197763,0.530283,0.996744,-0.0358509,-0.0551433,0.0466386,0.271837,0.7814,-0.29292,-0.531385,0.0227241,-0.560755,0.506218,1.23371,1.74053,-0.484872,-0.170732,-0.200171,0.858916,0.650121,-4.38615,-1.96949,-4.03483,0.000255242,5.89826,0.825782,-0.0383345,-0.425119,
50,0.0315063,-0.23008,-0.357583,-0.311041,-0.121307,0,-0.026457,-0.000184736,0.523491,0.99524,-0.0566552,-0.0453709,0.065034,-0.00312933,0.633985,-0.543976,-0.530976,0.331842,-0.519416,0.513485,1.21436,1.12172,-0.339526,-0.287242,-1.0287,0.379912,0.851285,-6.58575,-3.91312,-4.84689,0.01336,6.45981,0.351549,0.32107,-0.407537,
51,0.00528176,-0.385306,0.00125068,-0.191672,-0.0937803,0,-0.226319,-0.0176235,0.518573,0.994632,-0.0620371,-0.0409547,0.071986,-0.388388,0.487361,-0.549565,-0.527111,0.575477,-0.52103,0.527751,1.15626,1.18596,0.0610935,-0.0248757,0.549126,-0.374458,0.853815,-8.83505,0.285629,0.797626,0.117595,0.0132757,-0.101624,-0.0312636,-1.92716,
52,0.00864412,-0.347574,0.105301,-0.0286014,-0.0421774,0,-0.329796,-0.0283671,0.506415,0.994317,-0.0477673,-0.0487245,0.0817197,-0.592912,0.51395,-0.526629,-0.522814,0.513728,-0.529221,0.524677,0.99178,1.42376,-0.28519,-0.472181,0.494563,-0.272977,-0.310766,1.44256,0.330084,0.152298,-0.000155575,-2.04666,-0.226407,-0.0407965,-4.63161,
