step,action0,action1,action2,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,
91,0.0224492,0.00181139,0.927779,1.46165,-0.147465,-0.03896,-0.735407,-0.49075,1.49798,0.607983,-0.182903,-0.289343,1.04336,9.67942,
92,0.023718,0.0112178,0.931157,1.46605,-0.148683,-0.0411632,-0.72717,-0.408193,1.51237,0.49171,-0.123172,-0.261039,1.01702,10,
93,0.0248488,0.0242701,0.937028,1.46951,-0.149437,-0.043127,-0.719067,-0.315444,1.52529,0.373076,-0.0672197,-0.229401,1.01008,10,
94,0.025827,0.0415543,0.94525,1.47202,-0.149761,-0.0448258,-0.710922,-0.212557,1.53682,0.252767,-0.0161723,-0.194751,1.0274,10,
95,0.0266397,0.0636193,0.955246,1.47356,-0.149699,-0.0462373,-0.70252,-0.0995614,1.5471,0.131904,0.0286199,-0.157505,1.07437,10,
96,0.0272761,0.0908836,0.966012,1.47413,-0.149307,-0.0473428,-0.693601,0.0235384,1.55637,0.0121464,0.0656192,-0.118196,1.15675,10,
97,0.0277284,0.123482,0.976309,1.47376,-0.148655,-0.0481283,-0.683856,0.156754,1.56495,-0.104191,0.0932027,-0.0775014,1.2804,10,
98,0.0279919,0.161045,0.985013,1.47249,-0.147823,-0.0485861,-0.672934,0.300104,1.57334,-0.214052,0.109866,-0.036294,1.45066,10,
99,0.0280669,0.202425,0.991463,1.47037,-0.146904,-0.0487164,-0.660445,0.453604,1.58223,-0.313606,0.114563,0.00430515,1.6715,10,
100,0.0279592,0.245418,0.99563,1.46751,-0.145995,-0.0485293,-0.645979,0.61726,1.59262,-0.398327,0.107199,0.0428613,1.94412,10,
101,0.0276822,0.276645,0.998052,1.46405,-0.14519,-0.048048,-0.629134,0.791065,1.59879,-0.444988,0.0919006,0.0804864,2.28172,10,
102,0.0271425,0.0438576,0.999551,1.46162,-0.143933,-0.0471106,-0.608244,0.906542,1.50754,-0.200379,0.246861,0.145142,2.90969,8.64198,
103,0.0263313,-0.0691721,0.999752,1.46034,-0.141547,-0.0457017,-0.584167,0.94565,1.45428,-0.138953,0.350098,0.203948,3.09371,1.90026,
104,0.0252553,-0.085676,0.999788,1.45915,-0.138591,-0.0438329,-0.559539,0.946202,1.41918,-0.168491,0.385226,0.261763,3.05448,-1.33483,
105,0.0239288,-0.0602062,0.999792,1.45753,-0.135471,-0.0415293,-0.535491,0.929374,1.39839,-0.240096,0.392073,0.313333,2.95252,-2.64315,
106,0.0223853,-0.0245664,0.999797,1.45526,-0.132309,-0.038849,-0.51222,0.906565,1.38898,-0.329972,0.397096,0.356296,2.86265,-2.94375,
107,0.0206636,0.00735651,0.999812,1.45224,-0.129073,-0.0358597,-0.489526,0.883547,1.3878,-0.426772,0.410987,0.390778,2.80954,-2.75898,
108,0.0187999,0.0316394,0.999837,1.44843,-0.125687,-0.0326243,-0.467108,0.862937,1.39199,-0.525256,0.435366,0.417955,2.79451,-2.37623,
109,0.0168248,0.0487423,0.999866,1.44384,-0.122072,-0.0291958,-0.444686,0.845647,1.39932,-0.62318,0.468187,0.439128,2.81077,-1.94612,
110,0.0147635,0.0604683,0.999894,1.43846,-0.118172,-0.025618,-0.422042,0.831728,1.40829,-0.719767,0.506639,0.455337,2.8504,-1.54146,
111,0.0126371,0.0686523,0.999918,1.43232,-0.113952,-0.0219277,-0.399013,0.820834,1.41794,-0.81493,0.548313,0.467278,2.90693,-1.19219,
112,0.0104645,0.0747405,0.999938,1.42543,-0.109393,-0.0181573,-0.375483,0.812484,1.42778,-0.908886,0.591486,0.475363,2.97579,-0.905764,
113,0.00826281,0.0797431,0.999955,1.41779,-0.104487,-0.0143368,-0.351364,0.806183,1.43758,-1.00196,0.635066,0.479804,3.05409,-0.678682,
114,0.00604874,0.0843114,0.999967,1.4094,-0.0992329,-0.010495,-0.326588,0.801488,1.44729,-1.09451,0.678431,0.480687,3.14014,-0.502935,
115,0.00383866,0.0888373,0.999976,1.40027,-0.0936338,-0.00666027,-0.301095,0.798024,1.45694,-1.18684,0.721284,0.478036,3.23307,-0.369347,
116,0.00164888,0.0935385,0.999983,1.39041,-0.0876944,-0.00286088,-0.274832,0.795489,1.46661,-1.27927,0.763527,0.471851,3.33256,-0.269214,
117,-0.000471646,0.14248,0.999987,1.3798,-0.0814649,0.000818325,-0.247743,0.793648,1.47324,-1.37256,0.749075,0.392631,3.4438,-0.194976,
118,-0.00165476,0.270884,0.999988,1.36845,-0.0760378,0.00287107,-0.219425,0.792317,1.47771,-1.4659,0.628412,0.146403,3.63359,-0.140498,
119,-0.00200261,0.268231,0.999994,1.35636,-0.0708507,0.00347462,-0.188933,0.791359,1.50224,-1.55662,0.680189,0.0193517,3.9881,-0.100995,
120,-0.00193646,0.227975,0.999997,1.34354,-0.0650201,0.00335984,-0.155649,0.790672,1.52943,-1.65065,0.783845,-0.0398139,4.33175,-0.0723097,
121,-0.00168683,0.188103,0.999999,1.32994,-0.0583384,0.00292672,-0.119858,0.790182,1.55338,-1.7491,0.887537,-0.0669464,4.61567,-0.0515332,
122,-0.00133152,0.164211,1,1.31554,-0.050903,0.00231024,-0.0820247,0.789833,1.57302,-1.85141,0.971051,-0.0871365,4.84219,-0.036558,
123,-0.000843678,-0.067647,0.999999,1.30042,-0.0426915,0.00146382,-0.0427981,0.789464,1.70908,-1.8234,1.23933,-0.204319,4.69341,-0.16886,
124,0.000921891,-0.632711,0.999992,1.28776,-0.0302251,-0.00159952,-0.0108156,0.787168,2.10021,-1.35131,1.79744,-0.527781,3.41009,-0.284554,
125,0.00356014,-0.64099,0.999758,1.27857,-0.0164497,-0.00617703,0.00956482,0.78562,2.20239,-0.960867,1.5622,-0.587125,1.65369,-0.110604,
126,0.00628094,-0.59413,0.997024,1.27221,-0.0051525,-0.0108979,0.0174107,0.785708,2.23827,-0.63925,1.25796,-0.586299,0.378378,0.0777533,
127,0.0089067,-0.499754,0.976778,1.26815,0.00361181,-0.0154541,0.0163409,0.786342,2.23351,-0.389347,0.925205,-0.547908,-0.626789,0.0728325,
128,0.011323,-0.381107,0.872975,1.2658,0.00980652,-0.0196471,0.00809035,0.786848,2.21728,-0.207521,0.620829,-0.497919,-1.42518,0.0552848,
129,0.0135102,-0.265702,0.560164,1.26466,0.0138139,-0.0234429,-0.00571529,0.787218,2.20328,-0.0890154,0.380833,-0.449615,-2.01931,0.0388282,
130,0.0154864,-0.169952,0.0827368,1.26423,0.016186,-0.0268727,-0.0235265,0.787416,2.19515,-0.027222,0.213189,-0.406964,-2.4287,0.0138071,
131,0.0172773,-0.098053,-0.31262,1.26409,0.0174758,-0.0299813,-0.0440046,0.787367,2.19225,-0.0138946,0.110789,-0.369602,-2.68735,-0.0207676,
132,0.018873,-0.0346455,-0.496101,1.26388,0.0181088,-0.0327511,-0.065885,0.78528,2.17436,-0.0459857,0.0486839,-0.322118,-2.77897,-0.492377,
